svm_mean,svm_std,d_svm_mean,d_svm_std
14.49443303,8.485795854,2.677829883,5.971779731
12.90500549,7.329708116,2.334432214,6.581378133
12.57011672,7.749036485,2.167445195,6.648297408
12.82145235,7.777365149,1.992994658,5.265937066
12.95608522,7.447585345,2.092575259,4.796433237
12.04638557,5.979438646,1.63593154,3.884007434
13.3463121,7.128737582,1.962030417,5.190058895
13.89577869,7.479838153,2.087234068,5.588396349
12.25860502,5.667836797,1.344902326,3.997544094
12.14154921,5.377194807,1.450466646,3.799541713
13.70259542,7.670167565,2.35003277,5.70726855
16.02964267,9.366553745,3.094501571,6.978647636
13.68364567,8.251247432,2.063163329,5.380595192
12.26268373,7.772108808,1.971044553,5.444268014
12.33979804,7.598680685,1.767624714,5.461508793
10.73928926,2.850473195,0.461433232,0.666685399
14.53194394,9.13429834,2.131383227,7.076564755
13.74268762,9.145627421,2.022001239,7.0787968
11.56388236,5.270472515,0.993830503,3.624714402
13.97699576,8.017971301,1.938164205,4.545829082
13.33469944,9.218119779,2.099248767,6.927088585
10.88132897,6.693383326,1.108699802,6.386171047
11.96694743,7.066672303,1.498856138,4.722879548
11.98541348,7.080921911,1.481698166,4.726783152
10.24930502,1.762335452,0.387935273,0.547422831
11.73983303,5.347877421,1.025666214,2.679953103
14.82377628,9.230066522,2.3278747,4.394357983
14.84351825,8.794432397,2.467065787,4.603930895
13.96146194,7.553722004,2.099394865,4.932329141
12.60620866,6.806454982,1.533780941,4.068625798
11.04491431,5.014733805,1.094380648,3.035333324
11.15888171,5.142452498,1.04050988,3.026408324
11.75269282,5.750425673,1.298697779,4.060293849
11.44854196,5.607453584,1.16324353,4.062476418
11.01328454,6.013871982,1.399918826,5.185449624
