svm_mean,svm_std,d_svm_mean,d_svm_std
39.14063645,24.61135046,7.387626245,9.991979608
44.07613668,20.12930224,8.526456631,7.755399821
40.8068128,18.90402808,8.360791304,7.880206407
43.20740627,17.77748292,8.368544463,7.80027601
