svm_mean,svm_std,d_svm_mean,d_svm_std
15.66874125,14.08551852,7.301024216,13.71709956
12.78238171,10.18192908,4.099576714,10.49145915
12.15330317,8.074182504,2.862376719,7.373931777
15.19946377,11.39322309,5.80341942,10.62261317
16.74645092,13.61343761,7.398544528,13.09761218
17.19364136,14.29682392,7.739080877,13.55602413
16.56785792,13.9887078,7.496324594,13.09429583
13.98832201,11.5096104,5.60704414,11.31302639
12.00987626,7.373861005,3.435006175,7.033857626
12.06088589,7.119066293,3.076843841,6.055380644
11.51890487,7.51345644,2.592103584,6.980101666
11.24534111,8.261556738,2.40654717,7.762507295
13.68651933,11.06707802,4.75912264,10.49462892
14.64023271,11.21150411,5.993709382,10.45404217
14.00899773,10.85190251,5.331009434,10.15394611
14.7244399,12.26485333,6.137108069,11.64144165
14.77260206,12.57822788,6.403393753,12.3569978
13.91350949,11.35216461,5.221686241,11.23144335
13.55886612,11.16149566,5.270532444,10.7647705
11.9074796,8.555534516,3.329549432,8.66671103
11.74505077,8.042584303,2.812660879,6.700583881
13.13077406,11.16055785,5.121225079,10.65176004
13.267179,10.91368555,5.217260534,11.21503925
13.55615358,10.57123423,5.17921161,10.59671231
13.9162674,11.28313377,5.649619544,11.54454418
14.18851096,11.78294183,6.147660829,12.4662021
14.96543568,12.47139481,6.682353576,12.66519879
15.64477636,13.17080301,7.145897432,13.11422889
14.25142871,11.84381525,5.842636836,12.10758506
12.24553867,8.911227485,3.854660512,9.357541302
11.21070787,5.887925578,2.485133648,6.153371271
13.34805975,9.958787388,4.849894091,9.86384353
13.81900674,11.92756537,5.794415599,11.82557997
11.82653623,9.687587093,3.623430681,9.843866505
10.95987729,5.727270012,2.192247286,5.695376597
12.05317016,8.247121404,3.462445983,8.103927094
13.49507004,10.70074007,5.369530227,9.776497979
13.74479146,11.0848706,5.77772955,9.706487843
13.2664007,10.55966863,5.095527832,9.530151871
13.28843724,10.48668183,5.312051873,9.514238753
14.12293035,12.08203749,6.098165967,11.56220531
14.51853382,12.72825011,6.580985289,12.35456698
13.25894862,10.46237705,5.096447626,10.19512208
12.76365893,9.403843318,4.470106783,9.503342015
13.04863998,9.667939877,4.856618659,9.779402121
12.87564182,9.360033167,4.553120328,9.600206064
12.81648576,9.441907861,4.601613564,10.02119693
14.56616675,11.99189712,6.238772942,12.01052859
14.65636358,12.31882413,6.301660692,11.93546924
13.43288427,10.56162963,5.271386942,10.3842414
13.20038503,10.13751651,4.87904575,10.1079077
13.73563645,11.32484993,5.505230542,11.70071749
13.89057894,11.79778704,5.995906168,12.48494069
13.00772143,10.06585633,4.455067499,9.931900997
13.51067041,10.45273982,4.618527627,8.894506794
11.40406264,7.589459597,2.768181037,6.345152322
