svm_mean,svm_std,d_svm_mean,d_svm_std
24.9234453,11.25291534,5.00994785,5.816491954
28.25983423,11.7354829,6.273602766,5.78135102
24.01847128,13.0993804,4.896217031,4.978136998
25.91921878,14.07752157,4.698769946,4.776710008
31.86452454,13.19393828,6.267042035,5.037414128
25.868244,13.90949244,5.087184977,4.707043171
25.39468378,14.40416217,4.997430934,5.134485137
30.85642105,13.76915375,6.341494741,5.36739366
28.99042615,14.27845643,6.686899322,6.065224804
24.26228646,14.62233447,5.612875411,6.162541158
25.6389432,15.16355396,6.039689132,6.220761172
27.53051747,14.90671173,7.057296246,6.713774081
20.75700361,13.01101759,4.918563102,5.689163401
20.28324825,13.98468121,5.125480986,6.235365336
26.50262551,14.98780337,6.803129329,6.812954023
28.04854488,13.96555695,6.904298408,5.980732622
23.2115986,13.97979984,5.593004834,5.521497492
24.50980207,15.97141636,5.891607764,6.962096761
